Производитель,ПР,Пенящиеся,Самозатухающий,Для поддержек,Антистатические,Антибактериальные,Для прочистки,Выжигаемый<br>Выплавляемый
Bambu Lab,9.3,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/filament-bambu-lab-pla-aero-gray-14104-plastik-dlya-dronov-1-kg-na-katushke-rfid-original-1790830164/ ""PLA Aero""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/katushka-asa-aero-plastika-bambu-lab-1-75-mm-1kg-belyy-2615339342/ ""ASA Aero""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-filament-dlya-3d-printera-bambu-lab-pc-fr-gray-63102-1kg-na-katushke-2900514038/ ""PC FR""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-filament-dlya-3d-printera-bambu-lab-support-for-pla-white-65104-0-5-kg-na-katushke-2825375791/ ""Support for PLA/PETG""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-filament-dlya-3d-printera-bambu-lab-support-for-abs-white-66100-0-5-kg-na-katushke-2825375762/ ""Support for ABS""){ target=""_blank"" }<br>[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-filament-dlya-3d-printera-bambu-lab-support-for-pa-pet-green-65500-0-5-kg-na-katushke-2825375892/ ""Support for PA/PET""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-filament-dlya-3d-printera-bambu-lab-pva-clear-66400-0-5-kg-na-katushke-2825375609/ ""PVA""){ target=""_blank"" }",-,-,-,-
ESUN,8.9,"[:material-shopping:](https://alli.pub/7akc5v?erid=2SDnjeMzRsD ""PLA LW""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7akc7t?erid=2SDnjf426UX ""TPU LW""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/katushka-inzhenernogo-plastika-esun-fr-flame-resistant-ranee-eabs-max-1-75-mm-1-kg-chernaya-1417067413/ ""ABS FR""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/katushka-pva-plastika-esun-1-75-mm-0-5kg-naturalnaya-256678178/ ""PVA""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7akc71?erid=2SDnjebLKQK ""PETG ESD""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7akc87?erid=2SDnjbufxJ3 ""TPU Antibacterial""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7akc8s?erid=2SDnjcEwnxX){ target=""_blank"" }",-
FusRock,8.8,"[:material-shopping:](https://alli.pub/7akcaj?erid=2SDnjcq3WST ""PLA Aero""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7akcaq?erid=2SDnjd1RRQs ""TPU Aero""){ target=""_blank"" }<br>[:material-shopping:](https://alli.pub/7akcb4?erid=2SDnjdAKM6w ""ASA Aero LT""){ target=""_blank"" }",-,-,-,-,-,-
3D-Club,8.2,-,-,"[:material-web:](https://3d-club.ru/product/pva-filament/ ""PVA""){ target=""_blank"" }",-,-,-,"[:material-web:](https://3d-club.ru/product/pmma-akril-prozrachnyj/ ""PMMA""){ target=""_blank"" }"
Filamentarno,7.6,"[:material-web:](https://www.filamentarno.ru/id=61 ""AEROTEX""){ target=""_blank"" } [:material-web:](https://www.filamentarno.ru/id=31 ""CERAMO-TEX""){ target=""_blank"" }",-,-,-,-,-,"[:material-web:](https://filamentarno.ru/wax3d.html ""WAX""){ target=""_blank"" }"
